name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
Running Goose,"1620 N Cahuenga Blvd, Los Angeles, CA 90028, United States",https://runningoose.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
La Boucherie,"900 Wilshire Blvd fl 71, Los Angeles, CA 90017, United States",,Food And Beverage Establishments,Butcher,,,none
District,"Plaza Level in The Bloc, 700 W 7th St, Los Angeles, CA 90017, United States",http://www.districtdtla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Mr. T Los Angeles,"953 N Sycamore Ave, Los Angeles, CA 90038, United States",http://mrtrestaurants.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Gwen,"6600 W Sunset Blvd, Los Angeles, CA 90028, United States",http://gwenla.com/,Food And Beverage Establishments,Baking,,,none
Guisados,"541 S Spring St UNIT 101, Los Angeles, CA 90013, United States",https://www.guisados.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
Jemma Hollywood,"1717 Vine St, Los Angeles, CA 90028, United States",https://www.jemmarestaurants.com/hollywood,Food And Beverage Establishments,Food Prep,,,none
UKA,"JAPAN HOUSE, Ovation Hollywood, 6801 Hollywood Blvd Level 5, Los Angeles, CA 90028, United States",https://www.exploretock.com/uka/?utm_source=google_business_profile,Food And Beverage Establishments,Restaurant non quick service,,,none
Mirate,"1712 N Vermont Ave, Los Angeles, CA 90027, United States",https://www.mirate.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
Justice Urban Tavern,"120 S Los Angeles St, Los Angeles, CA 90012, United States",https://justiceurbantaverngo.site/,Food And Beverage Establishments,Brewery,,,none
Stout Burgers & Beers,"1544 N Cahuenga Blvd, Los Angeles, CA 90028, United States",https://stoutburgersandbeers.com/,Food And Beverage Establishments,Brewery,,,none
Yard House,"800 W Olympic Blvd A-115, Los Angeles, CA 90015, United States",https://www.yardhouse.com/locations/ca/los-angeles/los-angeles-la-live/8321?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:los-angeles-ca-8321_pl:locurl_rd:1019,Food And Beverage Establishments,Flower Shop,,,none
Nick + Stef's Steakhouse,"330 S Hope St, Los Angeles, CA 90071, United States",https://www.nickandstefs.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Cicada Restaurant and Lounge,"617 S Olive St, Los Angeles, CA 90014, United States",http://www.cicadarestaurant.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Drago Centro,"525 Flower St, Los Angeles, CA 90071, United States",https://dragocentro.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Caldo Verde,"Proper Hotel, 1100 S Broadway, Los Angeles, CA 90015, United States",https://www.properhotel.com/downtown-la/restaurants-bars/caldo-verde/,Food And Beverage Establishments,Restaurant non quick service,,,none
Sol Agave LA LIVE,"800 W Olympic Blvd, Los Angeles, CA 90015, United States",http://www.solagave.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
The Butcher's Daughter,"1205 Abbot Kinney Blvd, Venice, CA 90291, United States",https://www.thebutchersdaughter.com/?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_term=venice,Food And Beverage Establishments,Butcher,,,none
Mrs. Fish,"448 S Hill St, Los Angeles, CA 90013, United States",http://www.mrsfish.com/,Food And Beverage Establishments,Fishmonger,,,none
HATCH,"700 W 7th St Suite G600, Los Angeles, CA 90017, United States",http://hatchyalater.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Bar Amá,"FARMERS AND MERCHANTS BANK BUILDING, 118 4th St, Los Angeles, CA 90013, United States",http://bar-ama.com/,Food And Beverage Establishments,Bar,,,none
Takami Sushi & Robata Restaurant,"811 Wilshire Blvd #2100, Los Angeles, CA 90017, United States",http://www.takamisushi.com/,Food And Beverage Establishments,Sushi,,,none
El Cholo,"1037 Flower St, Los Angeles, CA 90015, United States",http://www.elcholo.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Dunsmoor,"3501 Eagle Rock Blvd, Los Angeles, CA 90065, United States",https://www.dunsmoor.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
De La Nonna - Art's District,"710 E 4th Pl, Los Angeles, CA 90013, United States",http://delanonna.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Americano,"923 E 3rd St, Los Angeles, CA 90013, United States",http://www.eatdrinkamericano.com/,Food And Beverage Establishments,Coffee,,,none
Manuela,"907 E 3rd St, Los Angeles, CA 90013, United States",http://manuela-la.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Sqirl,"720 Virgil Ave #4, Los Angeles, CA 90029, United States",https://sqirlla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
NIKU X | Premium Seafood & A5 Wagyu Steak Buffet,"900 Wilshire Blvd Ste 212, Los Angeles, CA 90017, United States",http://nikux.com/,Food And Beverage Establishments,Meat and seafood manager,,,none
Mercado La Paloma,"3655 S Grand Ave # 280, Los Angeles, CA 90007, United States",http://www.mercadolapaloma.com/,Food And Beverage Establishments,"Food Prep, Catering",,,none
Mazal,"110 N San Fernando Rd, Los Angeles, CA 90031, United States",http://mazal.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
Quarter Sheets,"1305 Portia St, Los Angeles, CA 90026, United States",http://www.quartersheetspizza.com/,Food And Beverage Establishments,Baking,,,none
